match_id,round_number,steam_id,initial_money,final_money,loss_bonus
match_452e956ebb,1,76561197982568540,800,150,1400
match_452e956ebb,1,76561198331691747,800,150,1400
match_452e956ebb,1,76561198201275491,800,150,1400
match_452e956ebb,1,76561198116485358,800,0,1400
match_452e956ebb,1,76561198170650958,800,150,1400
match_452e956ebb,1,76561199490724250,800,0,1400
match_452e956ebb,1,76561198251316676,800,0,1400
match_452e956ebb,1,76561198303408101,800,150,1400
match_452e956ebb,1,76561198181639679,800,150,1400
match_452e956ebb,1,76561198169540105,800,800,1400
match_452e956ebb,2,76561198331691747,4000,100,1400
match_452e956ebb,2,76561198201275491,3700,0,1400
match_452e956ebb,2,76561197982568540,2050,1850,1900
match_452e956ebb,2,76561198303408101,2050,1850,1900
match_452e956ebb,2,76561198181639679,2350,1450,1900
match_452e956ebb,2,76561198169540105,2700,800,1900
match_452e956ebb,2,76561198116485358,3550,250,1400
match_452e956ebb,2,76561198170650958,4000,500,1400
match_452e956ebb,2,76561199490724250,3250,150,1400
match_452e956ebb,2,76561198251316676,1900,1700,1900
match_452e956ebb,3,76561198331691747,3550,2250,1400
match_452e956ebb,3,76561198201275491,3850,2450,1400
match_452e956ebb,3,76561197982568540,4450,50,2400
match_452e956ebb,3,76561198303408101,4450,700,2400
match_452e956ebb,3,76561198181639679,4050,0,2400
match_452e956ebb,3,76561198169540105,2400,1200,2400
match_452e956ebb,3,76561198116485358,3500,2000,1400
match_452e956ebb,3,76561198170650958,4700,3700,1400
match_452e956ebb,3,76561199490724250,3600,2400,1400
match_452e956ebb,3,76561198251316676,4300,200,2400
match_452e956ebb,4,76561199490724250,4100,0,1900
match_452e956ebb,4,76561198251316676,3650,150,1400
match_452e956ebb,4,76561198303408101,5950,3450,1400
match_452e956ebb,4,76561198181639679,3550,100,1400
match_452e956ebb,4,76561198169540105,3700,300,1400
match_452e956ebb,4,76561198116485358,3600,900,1900
match_452e956ebb,4,76561198170650958,5400,1950,1900
match_452e956ebb,4,76561197982568540,3300,2600,1400
match_452e956ebb,4,76561198331691747,4250,50,1900
match_452e956ebb,4,76561198201275491,4350,50,1900
match_452e956ebb,5,76561197982568540,6350,3850,1400
match_452e956ebb,5,76561198331691747,2250,1350,2400
match_452e956ebb,5,76561198201275491,1950,1050,2400
match_452e956ebb,5,76561198251316676,3700,1300,1400
match_452e956ebb,5,76561198303408101,7350,5950,1400
match_452e956ebb,5,76561198181639679,3550,50,1400
match_452e956ebb,5,76561198169540105,5150,350,1400
match_452e956ebb,5,76561198116485358,3000,2600,2400
match_452e956ebb,5,76561198170650958,4250,2350,2400
match_452e956ebb,5,76561199490724250,2000,100,2400
match_452e956ebb,6,76561198181639679,4400,3600,1400
match_452e956ebb,6,76561198169540105,3550,1900,1400
match_452e956ebb,6,76561198116485358,5200,100,2900
match_452e956ebb,6,76561198170650958,4950,250,2900
match_452e956ebb,6,76561199490724250,3600,400,2900
match_452e956ebb,6,76561198251316676,5550,1250,1400
match_452e956ebb,6,76561198303408101,10500,10500,1400
match_452e956ebb,6,76561198201275491,3650,1200,2900
match_452e956ebb,6,76561197982568540,7100,6100,1400
match_452e956ebb,6,76561198331691747,3950,50,2900
match_452e956ebb,7,76561197982568540,7500,50,1900
match_452e956ebb,7,76561198331691747,3900,3900,1400
match_452e956ebb,7,76561198201275491,3550,2650,1400
match_452e956ebb,7,76561199490724250,4450,50,1400
match_452e956ebb,7,76561198251316676,6250,850,1900
match_452e956ebb,7,76561198303408101,11900,4650,1900
match_452e956ebb,7,76561198181639679,5100,250,1900
match_452e956ebb,7,76561198169540105,4150,50,1900
match_452e956ebb,7,76561198116485358,3550,150,1400
match_452e956ebb,7,76561198170650958,3900,0,1400
match_452e956ebb,8,76561198251316676,5000,100,1400
match_452e956ebb,8,76561198303408101,8400,7250,1400
match_452e956ebb,8,76561198181639679,4000,100,1400
match_452e956ebb,8,76561198169540105,3300,400,1400
match_452e956ebb,8,76561198116485358,3350,2150,1900
match_452e956ebb,8,76561198170650958,1900,700,1900
match_452e956ebb,8,76561199490724250,1950,850,1900
match_452e956ebb,8,76561197982568540,3700,200,1400
match_452e956ebb,8,76561198331691747,5800,1050,1900
match_452e956ebb,8,76561198201275491,5150,650,1900
match_452e956ebb,9,76561199490724250,5200,100,1400
match_452e956ebb,9,76561198251316676,1700,1500,1900
match_452e956ebb,9,76561198303408101,8650,3250,1900
match_452e956ebb,9,76561198181639679,1500,600,1900
match_452e956ebb,9,76561198169540105,3000,1100,1900
match_452e956ebb,9,76561198116485358,6200,3400,1400
match_452e956ebb,9,76561198170650958,5450,3050,1400
match_452e956ebb,9,76561197982568540,1500,800,1900
match_452e956ebb,9,76561198331691747,7900,1500,1400
match_452e956ebb,9,76561198201275491,5300,1400,1400
match_452e956ebb,10,76561199490724250,6250,5750,1400
match_452e956ebb,10,76561198251316676,3900,2000,2400
match_452e956ebb,10,76561198303408101,5350,1550,2400
match_452e956ebb,10,76561198181639679,2700,100,2400
match_452e956ebb,10,76561198169540105,3200,1300,2400
match_452e956ebb,10,76561198116485358,7650,7050,1400
match_452e956ebb,10,76561198170650958,7600,6400,1400
match_452e956ebb,10,76561197982568540,1900,0,2400
match_452e956ebb,10,76561198331691747,6850,6050,1400
match_452e956ebb,10,76561198201275491,4650,50,1400
match_452e956ebb,11,76561198201275491,3700,3000,1400
match_452e956ebb,11,76561197982568540,2400,0,2900
match_452e956ebb,11,76561198331691747,9300,9100,1400
match_452e956ebb,11,76561198181639679,4400,50,2900
match_452e956ebb,11,76561198169540105,3900,2700,2900
match_452e956ebb,11,76561198116485358,10700,10700,1400
match_452e956ebb,11,76561198170650958,9650,9150,1400
match_452e956ebb,11,76561199490724250,9000,9000,1400
match_452e956ebb,11,76561198251316676,4600,0,2900
match_452e956ebb,11,76561198303408101,5050,2150,2900
match_452e956ebb,12,76561198331691747,10800,2950,1900
match_452e956ebb,12,76561198201275491,4700,100,1900
match_452e956ebb,12,76561197982568540,3250,250,1400
match_452e956ebb,12,76561198303408101,5600,0,1400
match_452e956ebb,12,76561198181639679,3900,100,1400
match_452e956ebb,12,76561198169540105,3250,150,1400
match_452e956ebb,12,76561198116485358,12200,6800,1900
match_452e956ebb,12,76561198170650958,10850,5750,1900
match_452e956ebb,12,76561199490724250,10400,2600,1900
match_452e956ebb,12,76561198251316676,4250,150,1400
match_452e956ebb,13,76561199490724250,800,100,1400
match_452e956ebb,13,76561198251316676,800,100,2400
match_452e956ebb,13,76561198303408101,800,600,2400
match_452e956ebb,13,76561198181639679,800,400,2400
match_452e956ebb,13,76561198169540105,800,600,2400
match_452e956ebb,13,76561198116485358,800,600,1400
match_452e956ebb,13,76561198170650958,800,600,1400
match_452e956ebb,13,76561197982568540,800,600,2400
match_452e956ebb,13,76561198331691747,800,100,1400
match_452e956ebb,13,76561198201275491,800,100,1400
match_452e956ebb,14,76561197982568540,3700,800,1400
match_452e956ebb,14,76561198331691747,1900,1400,1900
match_452e956ebb,14,76561198201275491,1900,1300,1900
match_452e956ebb,14,76561199490724250,1900,1700,1900
match_452e956ebb,14,76561198251316676,3350,150,1400
match_452e956ebb,14,76561198303408101,3400,350,1400
match_452e956ebb,14,76561198181639679,4300,100,1400
match_452e956ebb,14,76561198169540105,4650,300,1400
match_452e956ebb,14,76561198116485358,2350,1550,1900
match_452e956ebb,14,76561198170650958,2650,350,1900
match_452e956ebb,15,76561197982568540,1400,500,1900
match_452e956ebb,15,76561198331691747,5450,3550,1400
match_452e956ebb,15,76561198201275491,5150,2950,1400
match_452e956ebb,15,76561198170650958,6200,3800,1400
match_452e956ebb,15,76561199490724250,5450,2700,1400
match_452e956ebb,15,76561198251316676,1750,650,1900
match_452e956ebb,15,76561198303408101,1950,50,1900
match_452e956ebb,15,76561198181639679,1500,600,1900
match_452e956ebb,15,76561198169540105,2000,2000,1900
match_452e956ebb,15,76561198116485358,5600,3200,1400
match_452e956ebb,16,76561197982568540,2250,50,2400
match_452e956ebb,16,76561198331691747,3250,50,1400
match_452e956ebb,16,76561198201275491,6500,5000,1400
match_452e956ebb,16,76561198170650958,7350,1550,1400
match_452e956ebb,16,76561199490724250,6600,3000,1400
match_452e956ebb,16,76561198251316676,3650,150,2400
match_452e956ebb,16,76561198303408101,2450,50,2400
match_452e956ebb,16,76561198181639679,2050,1850,2400
match_452e956ebb,16,76561198169540105,3900,3900,2400
match_452e956ebb,16,76561198116485358,6450,5450,1400
match_452e956ebb,17,76561197982568540,2450,150,2900
match_452e956ebb,17,76561198331691747,3600,0,1400
match_452e956ebb,17,76561198201275491,8550,8050,1400
match_452e956ebb,17,76561198116485358,9000,7850,1400
match_452e956ebb,17,76561198170650958,5000,5000,1400
match_452e956ebb,17,76561199490724250,6550,2350,1400
match_452e956ebb,17,76561198251316676,4350,150,2900
match_452e956ebb,17,76561198303408101,4850,3650,2900
match_452e956ebb,17,76561198181639679,4450,150,2900
match_452e956ebb,17,76561198169540105,6300,6300,2900
match_452e956ebb,18,76561197982568540,3600,3400,1400
match_452e956ebb,18,76561198331691747,1800,100,1900
match_452e956ebb,18,76561198201275491,9450,1350,1900
match_452e956ebb,18,76561198116485358,9250,2750,1900
match_452e956ebb,18,76561198170650958,6400,600,1900
match_452e956ebb,18,76561199490724250,4250,150,1900
match_452e956ebb,18,76561198251316676,3700,3200,1400
match_452e956ebb,18,76561198303408101,3550,2350,1400
match_452e956ebb,18,76561198181639679,4500,4100,1400
match_452e956ebb,18,76561198169540105,9550,9550,1400
match_452e956ebb,19,76561198251316676,6100,150,1900
match_452e956ebb,19,76561198303408101,5250,0,1900
match_452e956ebb,19,76561198181639679,7000,2000,1900
match_452e956ebb,19,76561198169540105,11450,11450,1900
match_452e956ebb,19,76561198116485358,4900,4400,1400
match_452e956ebb,19,76561198170650958,4050,650,1400
match_452e956ebb,19,76561199490724250,3600,2600,1400
match_452e956ebb,19,76561197982568540,6300,50,1900
match_452e956ebb,19,76561198331691747,3250,150,1400
match_452e956ebb,19,76561198201275491,7500,6500,1400
match_452e956ebb,20,76561198170650958,6800,1000,1400
match_452e956ebb,20,76561199490724250,6750,5950,1400
match_452e956ebb,20,76561198251316676,3750,1550,2400
match_452e956ebb,20,76561198303408101,4750,2600,2400
match_452e956ebb,20,76561198181639679,5600,600,2400
match_452e956ebb,20,76561198169540105,13850,13850,2400
match_452e956ebb,20,76561198116485358,7650,1450,1400
match_452e956ebb,20,76561197982568540,3350,150,2400
match_452e956ebb,20,76561198331691747,6600,6000,1400
match_452e956ebb,20,76561198201275491,9750,3950,1400
match_452e956ebb,21,76561197982568540,2950,1350,2900
match_452e956ebb,21,76561198331691747,9350,8450,1400
match_452e956ebb,21,76561198201275491,7400,6400,1400
match_452e956ebb,21,76561198116485358,5600,4950,1400
match_452e956ebb,21,76561198170650958,5050,4250,1400
match_452e956ebb,21,76561199490724250,9500,7650,1400
match_452e956ebb,21,76561198251316676,2950,1550,2900
match_452e956ebb,21,76561198303408101,2950,1550,2900
match_452e956ebb,21,76561198181639679,4700,3050,2900
match_452e956ebb,21,76561198169540105,16000,16000,2900
match_452e956ebb,22,76561198170650958,5650,250,1900
match_452e956ebb,22,76561199490724250,9250,4350,1900
match_452e956ebb,22,76561198251316676,3600,2400,1400
match_452e956ebb,22,76561198303408101,3900,0,1400
match_452e956ebb,22,76561198181639679,3350,1550,1400
match_452e956ebb,22,76561198169540105,16000,16000,1400
match_452e956ebb,22,76561198116485358,6650,550,1900
match_452e956ebb,22,76561197982568540,3600,1800,1400
match_452e956ebb,22,76561198331691747,10450,2900,1900
match_452e956ebb,22,76561198201275491,7800,2400,1900
match_452e956ebb,23,76561198303408101,4150,1450,1400
match_452e956ebb,23,76561198181639679,7050,0,1400
match_452e956ebb,23,76561198169540105,16000,16000,1400
match_452e956ebb,23,76561198116485358,2650,250,2400
match_452e956ebb,23,76561198170650958,2350,50,2400
match_452e956ebb,23,76561199490724250,7050,1250,2400
match_452e956ebb,23,76561198251316676,6650,1550,1400
match_452e956ebb,23,76561198331691747,5300,100,2400
match_452e956ebb,23,76561198201275491,5100,200,2400
match_452e956ebb,23,76561197982568540,6650,0,1400
