match_id,round_number,steam_id,initial_money,final_money,loss_bonus
match_4bc226b4be,1,76561198024627804,800,150,1400
match_4bc226b4be,1,76561197991999414,800,100,1400
match_4bc226b4be,1,76561197961103448,800,0,1400
match_4bc226b4be,1,76561198065602953,800,150,1400
match_4bc226b4be,1,76561198134155574,800,150,1400
match_4bc226b4be,1,76561198403433984,800,150,1400
match_4bc226b4be,1,76561198116485358,800,150,1400
match_4bc226b4be,1,76561199251305633,800,800,1400
match_4bc226b4be,1,76561198285435270,800,150,1400
match_4bc226b4be,1,76561198402989965,800,100,1400
match_4bc226b4be,2,76561197961103448,3850,800,1400
match_4bc226b4be,2,76561198065602953,3700,50,1400
match_4bc226b4be,2,76561198134155574,2050,1850,1900
match_4bc226b4be,2,76561198403433984,2050,1850,1900
match_4bc226b4be,2,76561198024627804,3400,300,1400
match_4bc226b4be,2,76561197991999414,3350,300,1400
match_4bc226b4be,2,76561198285435270,2650,1150,1900
match_4bc226b4be,2,76561198402989965,2300,2100,1900
match_4bc226b4be,2,76561198116485358,4000,100,1400
match_4bc226b4be,2,76561199251305633,2700,2500,1900
match_4bc226b4be,3,76561198024627804,3850,2850,1400
match_4bc226b4be,3,76561197991999414,3850,3450,1400
match_4bc226b4be,3,76561197961103448,4650,650,1400
match_4bc226b4be,3,76561198065602953,4100,2250,1400
match_4bc226b4be,3,76561198134155574,4450,50,2400
match_4bc226b4be,3,76561198403433984,4450,50,2400
match_4bc226b4be,3,76561198116485358,3650,1650,1400
match_4bc226b4be,3,76561199251305633,5100,900,2400
match_4bc226b4be,3,76561198285435270,5050,150,2400
match_4bc226b4be,3,76561198402989965,4700,300,2400
match_4bc226b4be,4,76561198024627804,4250,150,1900
match_4bc226b4be,4,76561197991999414,4850,3200,1900
match_4bc226b4be,4,76561197961103448,5350,350,1900
match_4bc226b4be,4,76561198065602953,3650,3450,1900
match_4bc226b4be,4,76561198134155574,4600,3200,1400
match_4bc226b4be,4,76561198403433984,3300,2400,1400
match_4bc226b4be,4,76561198116485358,3050,2850,1900
match_4bc226b4be,4,76561199251305633,5850,5200,1400
match_4bc226b4be,4,76561198285435270,3400,2700,1400
match_4bc226b4be,4,76561198402989965,3750,3050,1400
match_4bc226b4be,5,76561198116485358,4950,50,2400
match_4bc226b4be,5,76561199251305633,8750,1800,1400
match_4bc226b4be,5,76561198285435270,6850,500,1400
match_4bc226b4be,5,76561198402989965,6300,1400,1400
match_4bc226b4be,5,76561198024627804,5750,800,2400
match_4bc226b4be,5,76561197991999414,5600,200,2400
match_4bc226b4be,5,76561197961103448,6750,1350,2400
match_4bc226b4be,5,76561198065602953,5550,50,2400
match_4bc226b4be,5,76561198134155574,7450,5600,1400
match_4bc226b4be,5,76561198403433984,5850,750,1400
match_4bc226b4be,6,76561198116485358,3900,0,1400
match_4bc226b4be,6,76561199251305633,3400,100,1900
match_4bc226b4be,6,76561198285435270,4450,50,1900
match_4bc226b4be,6,76561198402989965,3000,2100,1900
match_4bc226b4be,6,76561198024627804,3350,2050,1400
match_4bc226b4be,6,76561197991999414,3650,2950,1400
match_4bc226b4be,6,76561197961103448,5700,2300,1400
match_4bc226b4be,6,76561198065602953,3300,150,1400
match_4bc226b4be,6,76561198134155574,7200,200,1900
match_4bc226b4be,6,76561198403433984,2450,250,1900
match_4bc226b4be,7,76561198065602953,3300,2200,1400
match_4bc226b4be,7,76561198134155574,2000,1800,2400
match_4bc226b4be,7,76561198403433984,2150,1750,2400
match_4bc226b4be,7,76561198024627804,5500,3800,1400
match_4bc226b4be,7,76561197991999414,6200,5400,1400
match_4bc226b4be,7,76561197961103448,5550,4350,1400
match_4bc226b4be,7,76561198402989965,4200,100,2400
match_4bc226b4be,7,76561198116485358,5050,50,1400
match_4bc226b4be,7,76561199251305633,1900,1700,2400
match_4bc226b4be,7,76561198285435270,2250,2050,2400
match_4bc226b4be,8,76561198116485358,2350,1650,1900
match_4bc226b4be,8,76561199251305633,5450,1550,1400
match_4bc226b4be,8,76561198285435270,5500,400,1400
match_4bc226b4be,8,76561198402989965,5900,1000,1400
match_4bc226b4be,8,76561198024627804,5600,1800,1900
match_4bc226b4be,8,76561197991999414,6800,3900,1900
match_4bc226b4be,8,76561197961103448,5750,3000,1900
match_4bc226b4be,8,76561198065602953,3900,3700,1900
match_4bc226b4be,8,76561198134155574,5250,650,1400
match_4bc226b4be,8,76561198403433984,6400,50,1400
match_4bc226b4be,9,76561198116485358,3750,0,2400
match_4bc226b4be,9,76561199251305633,5000,1100,1400
match_4bc226b4be,9,76561198285435270,4750,4150,1400
match_4bc226b4be,9,76561198402989965,4750,2650,1400
match_4bc226b4be,9,76561198024627804,5200,0,2400
match_4bc226b4be,9,76561197991999414,6600,600,2400
match_4bc226b4be,9,76561197961103448,5100,200,2400
match_4bc226b4be,9,76561198065602953,6100,400,2400
match_4bc226b4be,9,76561198134155574,4100,200,1400
match_4bc226b4be,9,76561198403433984,3900,2250,1400
match_4bc226b4be,10,76561199251305633,4550,850,1400
match_4bc226b4be,10,76561198285435270,8900,8000,1400
match_4bc226b4be,10,76561198402989965,6800,600,1400
match_4bc226b4be,10,76561198116485358,2600,2100,2900
match_4bc226b4be,10,76561197991999414,3400,0,2900
match_4bc226b4be,10,76561197961103448,2800,2000,2900
match_4bc226b4be,10,76561198065602953,3300,3100,2900
match_4bc226b4be,10,76561198134155574,3650,250,1400
match_4bc226b4be,10,76561198403433984,5500,3950,1400
match_4bc226b4be,10,76561198024627804,2400,2200,2900
match_4bc226b4be,11,76561198116485358,5500,200,3400
match_4bc226b4be,11,76561199251305633,7400,5550,1400
match_4bc226b4be,11,76561198285435270,11550,6450,1400
match_4bc226b4be,11,76561198402989965,6550,6050,1400
match_4bc226b4be,11,76561198024627804,5300,50,3400
match_4bc226b4be,11,76561197991999414,5800,400,3400
match_4bc226b4be,11,76561197961103448,5100,200,3400
match_4bc226b4be,11,76561198065602953,6200,500,3400
match_4bc226b4be,11,76561198134155574,5300,3850,1400
match_4bc226b4be,11,76561198403433984,7300,6600,1400
match_4bc226b4be,12,76561198134155574,7350,1750,1400
match_4bc226b4be,12,76561198403433984,10100,6200,1400
match_4bc226b4be,12,76561198024627804,3400,0,1400
match_4bc226b4be,12,76561197991999414,4300,3900,1400
match_4bc226b4be,12,76561197961103448,3800,50,1400
match_4bc226b4be,12,76561198065602953,4700,1150,1400
match_4bc226b4be,12,76561198116485358,3800,0,1400
match_4bc226b4be,12,76561199251305633,9650,2500,1400
match_4bc226b4be,12,76561198285435270,10150,4900,1400
match_4bc226b4be,12,76561198402989965,9850,9350,1400
match_4bc226b4be,13,76561197991999414,800,300,1900
match_4bc226b4be,13,76561197961103448,800,0,1900
match_4bc226b4be,13,76561198065602953,800,0,1900
match_4bc226b4be,13,76561198134155574,800,600,1400
match_4bc226b4be,13,76561198403433984,800,600,1400
