match_id,round,timestamp,event_type,details
match_4bc226b4be,0,1,WeaponFire,Player Wi11ard fired P2000 (speed=0.00)
match_4bc226b4be,0,1,WeaponFire,Player tusmuertos fired Knife (speed=0.00)
match_4bc226b4be,1,66,RoundStart,Round 1 started (freeze time)
match_4bc226b4be,1,578,ItemPickup,Player tusmuertos bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_4bc226b4be,1,620,ItemPickup,Player Rodrigo bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_4bc226b4be,1,667,ItemPickup,Player Rodrigo bought Decoy Grenade [finalMoney(after)=100 cost=50]
match_4bc226b4be,1,748,ItemPickup,Player ♕QUE MIRA BOBO♕ bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_4bc226b4be,1,748,ItemPickup,Player Wi11ard bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_4bc226b4be,1,773,ItemPickup,Player ๖ۣۜBossma๖ۣۜ bought HE Grenade [finalMoney(after)=500 cost=300]
match_4bc226b4be,1,806,ItemPickup,Player ๖ۣۜBossma๖ۣۜ bought Defuse Kit [finalMoney(after)=100 cost=400]
match_4bc226b4be,1,936,ItemPickup,Player SOBAO bought P250 [finalMoney(after)=500 cost=300]
match_4bc226b4be,1,982,ItemPickup,Player SOBAO bought Incendiary Grenade [finalMoney(after)=0 cost=500]
match_4bc226b4be,1,1142,ItemPickup,Player Kerchak bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_4bc226b4be,1,1634,ItemPickup,Player SoldadoDeMou10 bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_4bc226b4be,1,1761,FreezeTimeEnded,"Round 1: freeze time ended, action begins!"
match_4bc226b4be,1,1866,ItemPickup,Player SoldadoDeMou10 picked_up Kevlar Vest [finalMoney(after)=150 cost=650]
match_4bc226b4be,1,1924,ItemPickup,Player Young Reel bought Kevlar Vest [finalMoney(after)=150 cost=650]
match_4bc226b4be,1,2155,WeaponFire,Player Rodrigo fired Decoy Grenade (speed=420.89)
match_4bc226b4be,1,2205,WeaponFire,Player SOBAO fired Incendiary Grenade (speed=491.25)
match_4bc226b4be,1,2626,DeathPosition,"Player Young Reel died at (-2033.6, 1227.6, 33.5)"
match_4bc226b4be,1,2626,Kill,"Killer=SOBAO, Victim=Young Reel, Headshot=true"
match_4bc226b4be,1,2626,WeaponFire,Player SOBAO fired P250 (speed=76.05)
match_4bc226b4be,1,2632,ItemPickup,Player ♕QUE MIRA BOBO♕ picked_up C4 [finalMoney(after)=150 cost=0]
match_4bc226b4be,1,2636,WeaponFire,Player SOBAO fired P250 (speed=117.50)
match_4bc226b4be,1,2776,WeaponFire,Player EL MATA POLLOS fired Glock-18 (speed=437.90)
match_4bc226b4be,1,2783,DeathPosition,"Player EL MATA POLLOS died at (646.1, 764.5, 0.8)"
match_4bc226b4be,1,2783,Kill,"Killer=Wi11ard, Victim=EL MATA POLLOS, Headshot=true"
match_4bc226b4be,1,2783,WeaponFire,Player Wi11ard fired P2000 (speed=391.49)
match_4bc226b4be,1,2801,WeaponFire,Player Wi11ard fired P2000 (speed=244.01)
match_4bc226b4be,1,2879,WeaponFire,Player Rodrigo fired Glock-18 (speed=344.92)
match_4bc226b4be,1,2893,WeaponFire,Player SoldadoDeMou10 fired USP-S (speed=180.66)
match_4bc226b4be,1,2893,WeaponFire,Player Rodrigo fired Glock-18 (speed=105.18)
match_4bc226b4be,1,2951,WeaponFire,Player SoldadoDeMou10 fired USP-S (speed=237.15)
match_4bc226b4be,1,2960,WeaponFire,Player Rodrigo fired Glock-18 (speed=455.61)
match_4bc226b4be,1,2970,WeaponFire,Player Rodrigo fired Glock-18 (speed=415.04)
match_4bc226b4be,1,2978,WeaponFire,Player SoldadoDeMou10 fired USP-S (speed=194.06)
match_4bc226b4be,1,2980,WeaponFire,Player Rodrigo fired Glock-18 (speed=28.01)
match_4bc226b4be,1,2991,WeaponFire,Player Rodrigo fired Glock-18 (speed=19.42)
match_4bc226b4be,1,2998,WeaponFire,Player SoldadoDeMou10 fired USP-S (speed=161.03)
match_4bc226b4be,1,3003,WeaponFire,Player Rodrigo fired Glock-18 (speed=272.19)
match_4bc226b4be,1,3017,WeaponFire,Player Rodrigo fired Glock-18 (speed=113.45)
match_4bc226b4be,1,3019,WeaponFire,Player SoldadoDeMou10 fired USP-S (speed=87.50)
match_4bc226b4be,1,3031,WeaponFire,Player Rodrigo fired Glock-18 (speed=368.90)
match_4bc226b4be,1,3041,DeathPosition,"Player SoldadoDeMou10 died at (-417.5, 2296.7, -112.6)"
match_4bc226b4be,1,3041,Kill,"Killer=Rodrigo, Victim=SoldadoDeMou10, Headshot=true"
match_4bc226b4be,1,3041,WeaponFire,Player Rodrigo fired Glock-18 (speed=59.06)
match_4bc226b4be,1,3051,WeaponFire,Player Rodrigo fired Glock-18 (speed=52.12)
match_4bc226b4be,1,3394,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=249.61)
match_4bc226b4be,1,3417,WeaponFire,Player ๖ۣۜBossma๖ۣۜ fired USP-S (speed=249.55)
match_4bc226b4be,1,3417,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=100.71)
match_4bc226b4be,1,3419,WeaponFire,Player tusmuertos fired Glock-18 (speed=73.70)
match_4bc226b4be,1,3430,WeaponFire,Player ๖ۣۜBossma๖ۣۜ fired USP-S (speed=261.19)
match_4bc226b4be,1,3431,WeaponFire,Player tusmuertos fired Glock-18 (speed=41.76)
match_4bc226b4be,1,3441,WeaponFire,Player ๖ۣۜBossma๖ۣۜ fired USP-S (speed=292.59)
match_4bc226b4be,1,3442,WeaponFire,Player tusmuertos fired Glock-18 (speed=228.00)
match_4bc226b4be,1,3452,WeaponFire,Player ๖ۣۜBossma๖ۣۜ fired USP-S (speed=375.31)
match_4bc226b4be,1,3453,WeaponFire,Player tusmuertos fired Glock-18 (speed=272.58)
match_4bc226b4be,1,3463,WeaponFire,Player ๖ۣۜBossma๖ۣۜ fired USP-S (speed=292.10)
match_4bc226b4be,1,3466,WeaponFire,Player tusmuertos fired Glock-18 (speed=122.49)
match_4bc226b4be,1,3474,WeaponFire,Player ๖ۣۜBossma๖ۣۜ fired USP-S (speed=398.35)
match_4bc226b4be,1,3478,WeaponFire,Player tusmuertos fired Glock-18 (speed=233.58)
match_4bc226b4be,1,3478,WeaponFire,Player Rodrigo fired Glock-18 (speed=198.50)
match_4bc226b4be,1,3485,WeaponFire,Player ๖ۣۜBossma๖ۣۜ fired USP-S (speed=241.25)
match_4bc226b4be,1,3487,DeathPosition,"Player ๖ۣۜBossma๖ۣۜ died at (-121.8, 1360.5, 0.0)"
match_4bc226b4be,1,3487,Kill,"Killer=tusmuertos, Victim=๖ۣۜBossma๖ۣۜ, Headshot=true"
match_4bc226b4be,1,3487,WeaponFire,Player tusmuertos fired Glock-18 (speed=232.71)
match_4bc226b4be,1,3488,WeaponFire,Player Kerchak fired USP-S (speed=9.69)
match_4bc226b4be,1,3490,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=294.68)
match_4bc226b4be,1,3495,WeaponFire,Player Rodrigo fired Glock-18 (speed=275.55)
match_4bc226b4be,1,3499,WeaponFire,Player tusmuertos fired Glock-18 (speed=162.81)
match_4bc226b4be,1,3511,WeaponFire,Player Rodrigo fired Glock-18 (speed=437.68)
match_4bc226b4be,1,3527,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=173.06)
match_4bc226b4be,1,3527,WeaponFire,Player Rodrigo fired Glock-18 (speed=73.90)
match_4bc226b4be,1,3534,WeaponFire,Player SOBAO fired P250 (speed=402.66)
match_4bc226b4be,1,3539,WeaponFire,Player Rodrigo fired Glock-18 (speed=89.95)
match_4bc226b4be,1,3553,WeaponFire,Player SOBAO fired P250 (speed=209.14)
match_4bc226b4be,1,3563,WeaponFire,Player Kerchak fired USP-S (speed=62.74)
match_4bc226b4be,1,3568,WeaponFire,Player SOBAO fired P250 (speed=72.95)
match_4bc226b4be,1,3579,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=252.01)
match_4bc226b4be,1,3582,WeaponFire,Player Kerchak fired USP-S (speed=180.72)
match_4bc226b4be,1,3589,WeaponFire,Player Rodrigo fired Glock-18 (speed=210.55)
match_4bc226b4be,1,3601,DeathPosition,"Player Rodrigo died at (-420.1, 2235.9, -119.8)"
match_4bc226b4be,1,3601,Kill,"Killer=Kerchak, Victim=Rodrigo, Headshot=true"
match_4bc226b4be,1,3601,WeaponFire,Player Kerchak fired USP-S (speed=0.50)
match_4bc226b4be,1,3606,ItemPickup,Player tusmuertos picked_up USP-S [finalMoney(after)=150 cost=200]
match_4bc226b4be,1,3609,ItemPickup,Player tusmuertos picked_up HE Grenade [finalMoney(after)=150 cost=300]
match_4bc226b4be,1,3752,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=0.00)
match_4bc226b4be,1,3760,WeaponFire,Player SOBAO fired P250 (speed=405.63)
match_4bc226b4be,1,3762,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=0.00)
match_4bc226b4be,1,3840,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=386.97)
match_4bc226b4be,1,3845,WeaponFire,Player SOBAO fired P250 (speed=11.54)
match_4bc226b4be,1,3860,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=330.25)
match_4bc226b4be,1,3866,WeaponFire,Player SOBAO fired P250 (speed=236.57)
match_4bc226b4be,1,3877,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=202.10)
match_4bc226b4be,1,3882,WeaponFire,Player SOBAO fired P250 (speed=7.79)
match_4bc226b4be,1,3892,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=355.48)
match_4bc226b4be,1,3904,WeaponFire,Player ♕QUE MIRA BOBO♕ fired Glock-18 (speed=241.42)
match_4bc226b4be,1,3907,DeathPosition,"Player ♕QUE MIRA BOBO♕ died at (-2006.2, 1086.4, 36.8)"
match_4bc226b4be,1,3907,Kill,"Killer=SOBAO, Victim=♕QUE MIRA BOBO♕, Headshot=true"
match_4bc226b4be,1,3907,WeaponFire,Player SOBAO fired P250 (speed=16.47)
match_4bc226b4be,1,3925,WeaponFire,Player SOBAO fired P250 (speed=394.14)
match_4bc226b4be,1,3993,WeaponFire,Player Wi11ard fired P2000 (speed=71.30)
match_4bc226b4be,1,4006,WeaponFire,Player Wi11ard fired P2000 (speed=218.28)
match_4bc226b4be,1,4030,WeaponFire,Player Wi11ard fired P2000 (speed=312.73)
match_4bc226b4be,1,4054,WeaponFire,Player Wi11ard fired P2000 (speed=0.00)
match_4bc226b4be,1,4058,WeaponFire,Player tusmuertos fired USP-S (speed=83.99)
match_4bc226b4be,1,4073,WeaponFire,Player tusmuertos fired USP-S (speed=61.53)
match_4bc226b4be,1,4076,WeaponFire,Player Wi11ard fired P2000 (speed=88.21)
match_4bc226b4be,1,4097,WeaponFire,Player Wi11ard fired P2000 (speed=139.08)
match_4bc226b4be,1,4098,WeaponFire,Player tusmuertos fired USP-S (speed=3.09)
match_4bc226b4be,1,4111,WeaponFire,Player tusmuertos fired USP-S (speed=213.60)
match_4bc226b4be,1,4116,WeaponFire,Player Wi11ard fired P2000 (speed=117.28)
match_4bc226b4be,1,4123,WeaponFire,Player tusmuertos fired USP-S (speed=3.97)
match_4bc226b4be,1,4134,WeaponFire,Player Wi11ard fired P2000 (speed=0.00)
match_4bc226b4be,1,4136,WeaponFire,Player tusmuertos fired USP-S (speed=44.93)
match_4bc226b4be,1,4147,WeaponFire,Player tusmuertos fired USP-S (speed=11.44)
match_4bc226b4be,1,4151,WeaponFire,Player Wi11ard fired P2000 (speed=0.00)
match_4bc226b4be,1,4158,WeaponFire,Player tusmuertos fired USP-S (speed=3.83)
match_4bc226b4be,1,4171,WeaponFire,Player tusmuertos fired USP-S (speed=25.97)
match_4bc226b4be,1,4175,WeaponFire,Player Wi11ard fired P2000 (speed=0.00)
match_4bc226b4be,1,4182,DeathPosition,"Player Wi11ard died at (1338.3, 1979.5, -4.4)"
