match_id,steam_id,name,team,kills,assists,deaths,adr,hs_percentage,kd_ratio,flash_assists,avatar,rank,position,distance_traveled,enemies_flashed,shots_fired,shots_fired_no_reason,purchases,aim_placement,bad_flash_count,bad_molotov_count,team_kill_count,team_damage,accidental_shots,double_kills,triple_kills,quad_kills,ace,clutch_wins,crouch_ticks,walk_ticks,run_ticks
match_4bc226b4be,76561198116485358,Kerchak,T,26,5,18,132.26,42.31,1.44,0,https://avatars.steamstatic.com/e8b919956776ab9c2e80e562111f939e45702557_full.jpg,,1,177322.62,14,406,255,99,18.32,4,0,0,0,145,3,4,1,0,0,121,1013,4324
match_4bc226b4be,76561198285435270,tusmuertos,CT,21,8,15,109.17,33.33,1.40,0,https://avatars.steamstatic.com/0c454a062c1a4c8904cfe5d2050458c143d22097_full.jpg,,2,208092.91,8,416,232,91,18.66,4,0,0,3,137,5,1,1,0,0,542,916,4731
match_4bc226b4be,76561198402989965,Rodrigo,CT,17,8,13,107.65,35.29,1.31,0,https://avatars.steamstatic.com/c28316544299838bb20e0986cbadf2e7a32f41e7_full.jpg,,3,191403.04,15,359,187,91,23.92,4,0,0,56,120,4,1,0,0,0,322,1727,4959
match_4bc226b4be,76561198403433984,Young Reel,CT,19,6,15,113.74,15.79,1.27,0,https://avatars.steamstatic.com/8d3eb75c1065dd093b859fd998db7b521255c92b_full.jpg,,4,167364.95,18,314,153,87,14.88,2,0,0,13,134,4,2,0,0,0,108,1358,4195
match_4bc226b4be,76561197961103448,SOBAO,T,17,6,17,103.61,52.94,1.00,0,https://avatars.steamstatic.com/9713a4af0493b59847c842e921e68271b704136b_full.jpg,,5,194927.48,5,335,172,101,14.38,3,0,0,0,134,5,0,0,0,0,229,1290,5119
match_4bc226b4be,76561197991999414,๖ۣۜBossma๖ۣۜ,T,14,7,16,95.30,50.00,0.88,0,https://avatars.steamstatic.com/ae164ac6300795add9585c13571f15e7f17c35d9_full.jpg,,6,173869.69,0,264,108,97,12.33,0,0,0,0,60,4,0,0,0,1,334,1692,4563
match_4bc226b4be,76561199251305633,EL MATA POLLOS,CT,15,9,18,104.35,53.33,0.83,0,https://avatars.steamstatic.com/fef49e7fa7e1997310d705b2a6158ff8dc1cdfeb_full.jpg,,7,145678.09,2,434,203,80,16.79,0,0,0,0,114,2,0,1,0,0,131,1243,3510
match_4bc226b4be,76561198134155574,♕QUE MIRA BOBO♕,CT,13,10,17,86.96,46.15,0.76,0,https://avatars.steamstatic.com/8f115c6bf7f0e7fd4215d694ee35bb640ce6233c_full.jpg,,8,172506.05,24,366,214,85,17.09,0,0,0,0,131,3,0,0,0,0,443,1329,4067
match_4bc226b4be,76561198065602953,Wi11ard,T,11,3,18,64.39,54.55,0.61,0,https://avatars.steamstatic.com/a7779f14fc783762bdcb02879f06c331271d20b1_full.jpg,,9,176319.48,1,253,121,94,18.19,1,0,0,0,99,1,0,0,0,0,89,1340,4246
match_4bc226b4be,76561198024627804,SoldadoDeMou10,T,9,7,17,78.65,22.22,0.53,0,https://avatars.steamstatic.com/18c51ea4a14e966f00bdd0ee154980618b9b7449_full.jpg,,10,160567.89,11,274,165,83,20.38,1,5,1,71,138,1,0,0,0,0,299,1328,4113
