match_id,steam_id,name,team,kills,assists,deaths,adr,hs_percentage,kd_ratio,flash_assists,avatar,rank,position,distance_traveled,enemies_flashed,shots_fired,shots_fired_no_reason,purchases,aim_placement,bad_flash_count,bad_molotov_count,team_kill_count,team_damage,accidental_shots,double_kills,triple_kills,quad_kills,ace,clutch_wins,crouch_ticks,walk_ticks,run_ticks
match_8208e8306a,76561198262577205,Mads,T,23,4,14,115.78,34.78,1.64,0,https://avatars.steamstatic.com/beff2eefc98375fd06b6ae811d41e0153c59ede8_full.jpg,,1,213582.24,6,327,162,82,33.42,0,0,0,0,109,5,1,0,0,0,329,1246,5759
match_8208e8306a,76561197972953951,Thugy57,T,20,1,14,90.22,30.00,1.43,0,https://avatars.steamstatic.com/34833e3071dc95727385ff7ab88a2fffbccdd39b_full.jpg,,2,206437.21,2,527,304,91,23.81,2,0,0,0,136,4,1,0,0,0,652,1419,5537
match_8208e8306a,76561198887207422,Sigma Gabriel,CT,18,3,13,106.09,55.56,1.38,0,https://avatars.steamstatic.com/40c3ce656643adb72f11b537ecfbc7f5237b5c8f_full.jpg,,3,235671.42,3,536,341,86,25.40,2,0,0,22,184,4,1,0,0,0,281,1350,6138
match_8208e8306a,76561198170650958,deiff,T,20,6,18,119.13,55.00,1.11,0,https://avatars.steamstatic.com/173c2e4cfa20ff09293f9a86d29aaeaa9fc13de9_full.jpg,,4,204952.52,8,483,225,86,22.60,1,0,0,0,129,4,2,0,0,0,259,1469,5606
match_8208e8306a,76561198003048143,Lisalain Zack Meikok,CT,15,4,16,105.13,40.00,0.94,0,https://avatars.steamstatic.com/e3378122ac42720acf9e6b55e07ba7682b7d3428_full.jpg,,5,189454.89,1,179,92,89,25.70,0,0,0,5,90,1,0,1,0,0,99,1840,5351
match_8208e8306a,76561198051169539,Piet,CT,17,2,19,98.22,52.94,0.89,0,https://avatars.steamstatic.com/110d2785f36f15b95b7a1ab2abd0af05f2ec4395_full.jpg,,6,193895.11,1,364,171,112,20.67,2,0,0,0,134,2,2,0,0,0,106,922,4868
match_8208e8306a,76561198013122491,PLOW,CT,15,6,17,84.65,33.33,0.88,0,https://avatars.steamstatic.com/a35a8e540bbb1df5bd446db804f833892d6764b5_full.jpg,,7,201309.76,0,441,146,95,23.08,1,0,0,0,125,3,0,0,0,0,293,1335,5167
match_8208e8306a,76561198116485358,Kerchak,T,15,8,19,100.30,46.67,0.79,0,https://avatars.steamstatic.com/e8b919956776ab9c2e80e562111f939e45702557_full.jpg,,8,179842.41,5,377,113,95,17.89,2,0,0,0,85,3,1,0,0,0,175,1721,4754
match_8208e8306a,76561197977178611,fx_,CT,14,8,18,105.48,50.00,0.78,0,https://avatars.steamstatic.com/22c9ecbf2e9f2b1be20de5ad727da22a16c8935e_full.jpg,,9,204928.67,11,329,165,92,19.88,2,0,0,7,131,3,0,0,0,0,622,1096,5219
match_8208e8306a,76561198845810711,AL#Capone 50,T,5,9,17,49.30,40.00,0.29,0,https://avatars.steamstatic.com/7e0add634eab3edbc846356f8bd89f97a01d48bb_full.jpg,,10,181196.32,12,251,48,105,19.70,5,0,0,0,113,1,0,0,0,0,329,966,4593
